ano,ENERO,FEBRE,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOST,SEPTI,OCTUB,NOVIE,DICIE
1963,0.667,0.238,0,1.074,3.622,0.771,0.582,0.795,1.735,1.742,4.34,1.674
1964,0.495,0.155,0,0.512,1.102,4.341,4.954,9.556,3.568,4.828,0.99,0.242
1965,0.177,0.174,0.292,0.06,1.314,0.619,0.307,0.571,1.521,1.786,3.706,1.93
1966,0.788,0.102,0,0.027,0.238,5.2,1.077,8.659,16.97,4.04,12.04,7.39
1967,0.037,0,0.048,0.301,3.905,1.485,2.798,8.336,2.605,2.338,2.135,0.655
1968,0.28,0.409,0,0.693,2.861,3.422,0.344,0.593,0.696,2.338,2.135,0.655
1969,0.695,0.502,0.502,1.64,3.945,3.621,0.827,4.186,2.073,5.956,5.433,2.468
1970,0.651,0.028,0.383,0.237,1.198,0.654,1.164,0.847,1.584,2.1,3.173,1.735
1971,0.626,0.266,0.321,0.6,1.716,2.447,0.615,0.587,4.001,2.282,4.043,1.1
1972,0.515,0.871,1.322,1.253,1.46,1.159,0.388,0.283,0.294,1.624,1.717,0.352
1973,0.145,0.121,0.3,0.129,0.338,1.237,2.682,2.708,2.293,3.376,1.314,0.922
1974,0.391,0.143,0.122,0.126,2.322,0.587,0.191,0.465,3.871,4.528,6.59,1.345
1975,0.351,0.189,0.165,0.231,1.472,1.433,1.47,0.838,3.679,7.639,6.565,2.615
1976,0.647,0.402,0.242,0.998,1.318,0.643,0.263,0.374,0.453,1.73,2.131,0.465
1977,0.401,0.325,0.241,0.326,2.13,0.496,0.488,1.645,2.116,3.849,3.97,1.151
1978,0,0.168,0.526,3.126,4.797,2.091,0.822,1.136,2.67,2.196,3.513,1.208
1979,0.619,0.497,0.444,0.806,1.209,3.357,4.413,1.899,5.382,2.923,6.268,0.939
1980,0.531,0.464,0.373,0.412,0.956,1.527,0.501,1.639,0.926,2.725,3.307,1.004
1981,0.673,0.936,0.844,3.989,8.57,5.695,2.345,1.37,4.499,4.753,3.091,2.35
1982,1.476,1.908,0.583,2.29,4.267,4.615,0.663,0.567,0.953,2.875,0.92,0.495
1983,0.405,0.341,0.389,2.591,5.628,3.242,0.949,0.579,1.463,3.065,1.666,0.511
1984,0.752,0.497,0.523,0.68,1.055,1.62,3.042,2.477,4.023,17.87,3.36,1.158
1985,0.665,0.478,0.436,0.655,1.191,0.665,0.533,1.916,1.714,8.906,4.036,3.004
1986,0.62,0.711,0.219,1.45,2.654,2.959,0.482,0.568,0.331,2.835,0.585,0.467
1987,0,0.208,0.546,0.703,3.725,1.099,1.231,0.893,0.942,8.108,1.84,0.996
1988,0.373,0.338,0.32,0.963,0.423,4.869,3.348,4.755,2.901,6.51,3.695,1.021
1989,0.8,0.7,0.51,0.355,0.461,0.55,0.631,0.965,1.247,1.191,1.094,2.275
1990,0.375,0.322,0.314,1.378,3.373,0.453,0.466,0.935,0.709,2.979,2.38,1.641
1991,0.494,0.33,0.326,0.367,0.93,0.547,0.411,0.291,0.523,1.696,0.779,0.267
1992,0.313,0.28,0.147,1.352,0.626,0.657,1.213,0.932,1.685,4.712,0.889,1.274
1993,0.352,0.321,0.283,1.19,3.973,0.58,0.405,0.688,3.642,0.999,1.527,0.955
1994,0.356,0.326,0.458,0.598,0.861,0.491,0.193,0.42,1.263,1.751,0.592,0.401
1995,0.212,0.116,0.261,0.928,1.211,2.851,2.069,7.826,1.63,1.971,0.968,0.417
1996,0.234,0.132,0.316,1.059,1.158,4.123,5.171,2.318,4.977,4.673,5.081,0.904
1997,0.345,0.248,0.168,0.567,0.301,0.785,0.201,0.128,0.277,0.285,0.322,0.123
1998,0.107,0.03,0,0.573,0.338,1.388,0.743,0.77,0.751,2.685,3.331,3.509
1999,0.602,1.103,0.622,2.059,0.783,2.566,2.886,7.949,8.204,7.992,10.48,4.724
2000,0.711,0.486,0.333,0.494,1.637,2.034,0.654,0.449,4.07,1.821,4.679,0.561
2001,0.322,0.326,0.51,0.182,2.275,0.566,0.385,0.352,1.235,2.381,2.652,1.179
2002,0.462,0.315,0.276,0.792,0.529,0.847,0.216,0.48,1.542,3.29,1.331,0.583
2003,0.188,0.158,0.184,1.078,0.477,3.144,1.561,0.768,1.178,4.65,4.805,4.633
2004,0.618,0.354,0.162,1.205,3.007,1.101,2.731,1.3,1.5,4.959,6.926,0.926
2005,0.567,0.378,0.39,0.71,0.746,1.67,1.077,1.317,3.641,1.87,10.49,16.17
2006,0.741,0.692,0.924,2.794,2.994,5.246,0.987,1.22,2.183,3.483,4.458,1.038
2007,0.612,0.708,1.238,1.568,2.039,3.15,1.687,6.134,6.024,3.698,5.251,1.581
2008,0.798,0.617,0.549,0.716,4.771,3.12,1.051,1.15,1.929,2.328,4.933,1.475
2009,0.762,0.598,1.129,0.962,1.741,1.264,0.898,0.753,1.784,1.533,3.807,0.753
2010,0.572,0.504,0.656,1.471,1.577,4.467,5.655,10.56,8.984,9.327,7.892,4.824
2011,1.838,1.052,1.064,1.832,2.279,1.748,2.376,6.733,4.125,8.73,6.997,4.885
2012,1.061,0.664,0.592,2.107,4.595,1.8,1.308,3.233,1.885,3.746,1.649,0.956