"No,",FECHA1,FECHA2,DIAS,NIVEL(cms),CAUDAL_LIQUIDO(m3/s),GASTO_SOLIDO(Kg/s),Sed _rate(mm/yr),CONCENTRACION_MEDIA(Kg/m3),CONCENTRACION_SUPERFICIAL(Kg/m3)
1,19761218,12/18/76,28112,81,3.942,0.227,0.010796034,0.058,0.001
2,19770129,1/29/77,28154,72,2.621,0.047,0.002235302,0.018,0.001
3,19770519,5/19/77,28264,95,6.541,0.131,0.00623031,0.02,0.008
4,19770829,8/29/77,28366,71,2.079,0.034,0.001617027,0.016,0.011
5,19770830,8/30/77,28367,79,5.403,0.046,0.002187743,0.009,0.004
6,19771008,10/8/77,28406,85,4.757,0.477,0.02268594,0.1,0.093
7,19771214,12/14/77,28473,86,5.103,0.045,0.002140183,0.009,0.013
8,19780309,3/9/78,28558,80,4.662,0.19,0.009036328,0.041,0.051
9,19780519,5/19/78,28629,95,6.541,0.131,0.00623031,0.02,0.008
10,19780830,8/30/78,28732,79,5.403,0.046,0.002187743,0.009,0.004
11,19781021,10/21/78,28784,98,7.507,0.104,0.004946201,0.021,0.021
12,19781116,11/16/78,28810,102,7.991,0.304,0.014458125,0.038,0.001
13,19781221,12/21/78,28845,83,4.463,0.024,0.001141431,0.006,0.001
14,19790130,1/30/79,28885,71,2.806,0.02,0.000951192,0.007,0.001
15,19790222,2/22/79,28908,68,2.585,0.022,0.001046312,0.009,0.001
16,19790405,4/5/79,28950,67,2.8,0.042,0.001997504,0.015,0.015
17,19790605,6/5/79,29011,130,16.839,0.76,0.036145313,0.045,0.035
18,19790628,6/28/79,29034,92,6.033,0.055,0.002615779,0.009,0.012
19,19790817,8/17/79,29084,87,5.32,0.115,0.005469357,0.022,0.023
20,19790927,9/27/79,29125,120,14.428,0.366,0.017406822,0.025,0.023
21,19791114,11/14/79,29173,158,33.369,7.588,0.360882412,0.227,0.055
22,19791212,12/12/79,29201,105,8.865,0.104,0.004946201,0.012,0.01
23,19800213,2/13/80,29264,86,4.812,0.062,0.002948697,0.013,0.015
24,19800324,3/24/80,29304,78,3.369,0.052,0.0024731,0.015,0.012
25,19800529,5/29/80,29370,100,7.268,0.096,0.004565724,0.013,0.012
26,19800717,7/17/80,29419,72,2.828,0.019,0.000903633,0.006,0.004
27,19821118,11/18/82,30273,94,6.066,0.061,0.002901137,0.01,0.009
28,19830330,3/30/83,30405,69,2.275,0.078,0.003709651,0.034,0.036
29,19830716,7/16/83,30513,96,6.579,0.054,0.00256822,0.008,0.011
30,19831106,11/6/83,30626,91,16.388,0.79,0.037572101,0.048,0.034
31,19831215,12/15/83,30665,48,5.96,0.071,0.003376733,0.012,0.007
32,19831221,12/21/83,30671,45,4.661,0.039,0.001854825,0.008,0.005
33,19840228,2/28/84,30740,31,2.88,0.012,0.000570715,0.004,0.007
34,19840416,4/16/84,30788,29,3.02,0.158,0.00751442,0.052,0.008
35,19840424,4/24/84,30796,25,1.89,0.007,0.000332917,0.004,0.003
36,19840605,6/5/84,30838,35,3.38,0.08,0.00380477,0.022,0.021
37,19840813,8/13/84,30907,28,2.6,0.015,0.000713394,0.006,0.002
38,19840906,9/6/84,30931,39,4.182,0.032,0.001521908,0.008,0.004
39,19841004,10/4/84,30959,76,13.62,0.206,0.009797282,0.015,0.009
40,19841103,11/3/84,30989,88,17.19,0.175,0.008322934,0.01,0.018
41,19841206,12/6/84,31022,65,8.655,0.07,0.003329174,0.008,0.004
42,19850419,4/19/85,31156,33,2.601,0.035,0.001664587,0.013,0.012
43,19850616,6/16/85,31214,54,5.798,0.078,0.003709651,0.013,0.01
44,19850807,8/7/85,31266,38,3.59,0.015,0.000713394,0.004,0.004
45,19851003,10/3/85,31323,70,9.02,0.14,0.006658347,0.015,0.021
46,19851026,10/26/85,31346,110,25.43,1.325,0.063016499,0.052,0.037
47,19851122,11/22/85,31373,68,11.15,0.241,0.011461869,0.022,0.049
48,19851221,12/21/85,31402,66,9.62,0.164,0.007799778,0.017,0.022
49,19860131,1/31/86,31443,44,5.24,0.099,0.004708403,0.019,0.011
50,19860227,2/27/86,31470,64,9.56,0.308,0.014648364,0.032,0.053
51,19860411,4/11/86,31513,71,10.21,0.234,0.011128952,0.023,0.027
52,19861002,10/2/86,31687,53,6.58,0.155,0.007371741,0.024,0.033
53,19870217,2/17/87,31825,30,2.79,0.079,0.00375721,0.028,0.022
54,19870405,4/5/87,31872,57,7.39,0.213,0.010130199,0.029,0.052
55,19870609,6/9/87,31937,68,9.73,0.514,0.024445646,0.053,0.014
56,19870725,7/25/87,31983,44,4.95,0.114,0.005421797,0.023,0.013
57,19870922,9/22/87,32042,45,4.42,0.074,0.003519412,0.017,0.012
58,19880329,3/29/88,32231,27,2.57,0.063,0.002996256,0.024,0.01
59,19880513,5/13/88,32276,37,3.88,0.005,0.000237798,0.001,0.005
60,19880717,7/17/88,32341,37,3.82,0.144,0.006848586,0.038,0.034
61,19880920,9/20/88,32406,76,15.37,0.387,0.018405574,0.025,0.02
62,19881109,11/9/88,32456,73,13.04,0.242,0.011509429,0.019,0.011
63,19881207,12/7/88,32484,65,10.86,0.407,0.019356766,0.037,0.021
64,19890213,2/13/89,32552,39,4.07,0.082,0.003899889,0.02,0.097
65,19890422,4/22/89,32620,32,3.06,0.031,0.001474348,0.01,0.01
66,19890531,5/31/89,32659,53,6.37,0.261,0.012413061,0.032,0.022
67,19890630,6/30/89,32689,32,2.79,0.059,0.002806018,0.021,0.051
68,19890730,7/30/89,32719,30,2.48,0.029,0.001379229,0.012,0.012
69,19891012,10/12/89,32793,39,4.35,0.104,0.004946201,0.024,0.013
70,19891108,11/8/89,32820,41,3.74,0.075,0.003566972,0.02,0.043
71,19891219,12/19/89,32861,41,4.36,0.083,0.003947449,0.019,0.014
72,19900622,6/22/90,33046,57,7.3,0.155,0.007371741,0.021,0.017
73,19950606,6/6/95,34856,82,9.81,0.997,0.047416943,0.102,0.519
74,19980701,7/1/98,35977,49,5.643,0.046,0.002187743,0.008,0.006
75,20010219,2/19/01,36941,32,3.527,0.016,0.000760954,0.005,0.005
76,20040918,9/18/04,38248,68,9.909,0.05,0.002377981,0.005,0.006
77,20050413,4/13/05,38455,47,5.44,0.041,0.001949945,0.008,0.01
78,20060311,3/11/06,38787,26,5.24,0.022,0.001046312,0.004,0.004
79,20060529,5/29/06,38866,49,5.54,0.058,0.002758458,0.01,0.007